Name,Ticker,Sub-Sector,Market Cap,Debt to Equity,Long Term Debt to Equity,Cash Conversion Cycle,Quick Ratio,Current Ratio,Interest Coverage Ratio,Working Capital Turnover Ratio,Net Income / Liabilities,Earning Power
Sigma Solve Ltd,SIGMA,IT Services & Consulting,392.960136,16.01588352,9.49702184,,3.733441034,3.733441034,79.78125,6.991845056,166.3917526,63.95290581
StarlinePS Enterprises Ltd,STARLENT,Distributors,391.44765,0,0,,7.102102102,7.216216216,,1.520441435,54.07854985,8.381209868
Exhicon Events Media Solutions Ltd,EXHICON,Advertising,390.4305,0.881582082,0.881582082,,5.301841949,5.301841949,229.875,2.141792838,67.68513723,17.81113801
Mangalam Worldwide Ltd,MWL,Iron & Steel,390.01011,55.09754394,9.813511044,,0.730553134,1.435338564,2.351619299,11.21065903,9.582363533,8.598772294
Graviss Hospitality Ltd,GRAVISSHO,"Hotels, Resorts & Cruise Lines",389.4771826,1.59519257,0.458891013,,1.095645967,1.157030692,30,19.3041958,9.33125972,1.812267658
Quint Digital Ltd,QUINT,Broadcasting,389.01585,84.28790199,20.00765697,,2.128707865,2.128707865,5.566913248,1.215500637,31.52449324,16.62248996
AVP Infracon Ltd,AVPINFRA,Construction & Engineering,388.551456,67.69645449,26.02114866,,1.031605952,1.887224218,4.6,2.911253266,15.08732212,14.83601345
Shera Energy Ltd,SHERA,Metals - Diversified,385.9206564,93.71768761,33.22105593,,0.563395185,1.308264994,1.62055336,11.68619887,3.751224599,11.07883537
GEM Enviro Management Ltd,GEMENVIRO,Environmental & Facilities Services,385.160832,0,0,,5.433423913,5.44701087,1530,1.234870317,148.3574244,36.69944831
Nureca Ltd,NURECA,Pharmaceuticals,385.1067393,1.304955725,0.932111232,207.4618753,17.42887931,20.75323276,-4.204081633,0.567534626,,
Ravinder Heights Ltd,RVHL,Real Estate,384.5124274,0.813901437,0,,1.26546813,5.116040159,-6.814814815,0.054560013,,
Rane Engine Valve Ltd,RANEENGINE,Auto Parts,384.3665942,101.1340121,35.64274481,89.06289827,0.710755485,1.204422076,2.454545455,17.57054837,4.918032787,7.478167482
MK Exim (India) Ltd,MKEXIM,Textiles,384.2558528,0.828010409,0.130115921,,33.40909091,36.43939394,83.56,1.476212833,734.7619048,24.111265
Prithvi Exchange (India) Ltd,PRITHVIEXCH,Investment Banking & Brokerage,384.1655,2.766705744,0.797186401,,2.041963016,2.827880512,,190.3829787,82.21538462,31.40916808
Shree Rama Multi-Tech Ltd,SHREERAMA,Plastic Products,383.9874504,3.967750702,0,,1.785714286,2.888133031,13.15853659,3.791278577,35.54367201,7.793990176
Sahyadri Industries Ltd,SAHYADRI,Cement,383.339426,32.20376646,9.1856008,,0.451230972,1.943306396,4.126660762,4.234322666,13.1981982,8.322317888
KPT Industries Ltd,KPT,Industrial Machinery,381.531,66.67268786,14.32442197,197.4353074,0.70688725,1.608343823,5.126262626,5.032226078,18.52534562,16.85206708
Indian Emulsifiers Ltd,IEML,Specialty Chemicals,381.3333264,82.98171589,46.55414909,,1.001360544,1.953287982,5.663793103,4.17260788,24.88713318,20.56981841
Systango Technologies Ltd,SYSTANGO,IT Services & Consulting,379.92192,1.00567721,1.00567721,,8.711888112,8.711888112,422.2,1.719342962,218.0412371,30.41348509
NDL Ventures Ltd,NDLVENTURE,Real Estate,379.2771389,0,0,,9.091653028,11.0589198,,0.09195044,26.13636364,2.611723738
Panasonic Energy India Co Ltd,PANAENERG,Batteries,379.0125,1.148194999,0.613019364,,1.971046162,2.717563507,71.36363636,4.969260955,28.40770544,10.91946029
Hitech Corporation Ltd,HITECHCORP,Packaging,378.7585364,30.51780427,12.09095741,51.63897448,0.627455621,1.125325444,3.105189341,46.37037037,17.49085705,11.37718397
TBI Corn Ltd,TBI,Agro Products,378.5119522,240.7032181,83.31346841,,0.512798265,1.521258134,4.136258661,,16.76626826,23.25370034
Aion-Tech Solutions Ltd,GOLDTECH,IT Services & Consulting,377.6015787,15.25325615,5.296671491,,3.227272727,3.227272727,-0.617647059,1.968961567,,
Plaza Wires Ltd,PLAZACABLE,Industrial Machinery,376.6616395,34.57161981,2.560240964,,2.250667762,2.939593179,2.207852194,3.116047073,6.910798122,5.533368062
A-1 Acid Ltd,AAL,Commodity Chemicals,376.395,22.48272975,5.610215616,,3.32689211,3.47826087,3.263157895,6.824020552,7.052096569,3.904896867
Aries Agro Ltd (CN),ARIES,Fertilizers & Agro Chemicals,376.0854839,27.79352303,10.39186789,,1.082400527,1.676935378,2.273665321,4.682533084,7.68379009,9.793236715
Competent Automobiles Company Ltd,COMPEAU,Retail - Speciality,376.04301,73.71489307,16.59044061,,0.696447521,1.262266916,2.674045139,27.90058441,10.83238312,10.90809299
Nippon India ETF Nifty Midcap 150,MID150BEES,Equity,373.1663063,,,,,,,,,
